[f, 01]
[t, Fiona, 嗚... 嗚嗚... ]
[t, , 手機震動了，有一則匿名訊息。]
[f, 02]
[t, Anonymous, 昨晚的妳，真是可口。那精彩的夜晚都被我們記錄下來了。]
[t, Anonymous, 如果，不像要被妳男朋友知道昨晚發生了什麼事情，今晚也要乖乖地到這個地址與我見面。]
[f, 25]
[t, , 訊息的結尾是一張不堪入目的照片，相片主角是我。]
[f, 29]
[t, , 是眼淚吧... 我的視線漸漸模糊... ]
[t, , 眼淚不是透明的嗎？但是我卻什麼都感覺不到了。]
[t, , 一陣頭暈目眩，我與世界斷開的聯繫。]
[f, 00]
[t, , ...]
[t, , ]
[t, 尾聲, 妳蒐集到了... 0 位工具人。]
[t, 尾聲, 組工具箱這種事情，做人失敗，不可取。]
[e]
[cend]
[c, I2]
[t, , 不行，Dan 這個工具人已經快要被我收服了，這樣放他鴿子，感覺對比賽不利。]
[f, c7]
[t, Fiona, 不過... 我今天晚上有約了耶。]
[t, Alex, 好吧，改天再帶妳出去玩吧。]
[t, Fiona, 嗯嗯，沒問題！]
[f, 03]
[t, , 噢不！Dan 已經在那台漂亮的重機旁邊等我了。]
[f, c5]
[t, Fiona, Dan~ 抱歉讓你久等了~ ]
[t, Dan, 哈哈，不會不會，走吧，我們去吃飯。]
[f, 00]
[t, , ]
[f, 30]
[t, , 這台重機椅子好大，坐起來真舒服。]
[t, , 我抱住了 Dan，緊緊貼著他的背。]
[t, , 這個殺手賤... Dan 應該被我收服了吧？]
[t, Dan, 嗚... Fiona ，妳抱得那麼緊... ]
[t, Fiona, 怎麼了嗎？不能抱嗎~？]
[t, Dan, 嗯... 沒有。]
[t, , 在等紅綠燈，Dan 把他的手放在我白嫩的大腿上。]
[t, , 好溫熱，要是這時候被我男友看到了就慘了呢，哈哈... ]
[f, c3]
[t, , 咦咦咦咦咦咦！怎... 怎麼會...！]
[t, , 男朋友面無表情，毫無血色的看著我和 Dan 。]
[t, , 他往前騎了出去。]
[t, , 但，現在還是紅燈。]
[f, 31]
[t, , 一輛砂石車撞上了男朋友。]
[f, 00]
[t, , 地上只剩下摩托車與男友的殘骸。]
[f, 29]
[t, , 好想吐... ]
[t, , 我四肢無力，一陣頭暈目眩。]
[t, , 下一秒，我腦袋中想起沉重的撞擊聲。]
[t, , 我與世界斷開了聯繫。]
[f, 00]
[t, , ...]
[t, , ]
[t, 尾聲, 妳蒐集到了... 1 位工具人，但是最後遲早會變成 0 位。]
[t, 尾聲, 組工具箱這種事情，做人失敗，不可取。]
[e]
[cend]
[t, 唉呀, 唉呀！怎麼會跑來這邊？應該在前面就已經 Game Over 了呀！]
[e]
